task_id,source_split,source_config,text,code_python,test_list,code_typescript,code_typescript_status,code_typescript_attempts,code_typescript_tests_passed,code_typescript_tests_failed,tests_typescript
16,test,sanitized,Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.,"import re
def text_lowercase_underscore(text):
        patterns = '^[a-z]+_[a-z]+$'
        if re.search(patterns,  text):
                return True
        else:
                return False","[""assert text_lowercase_underscore(\""aab_cbbbc\"")==(True)"", ""assert text_lowercase_underscore(\""aab_Abbbc\"")==(False)"", ""assert text_lowercase_underscore(\""Aaab_abbbc\"")==(False)""]","function text_lowercase_underscore(text: string): boolean {
    const pattern = /^[a-z]+_[a-z]+$/;
    if (pattern.test(text)) {
        return true;
    } else {
        return false;
    }
}",success,1,3,0,[]
17,test,sanitized,Write a function that returns the perimeter of a square given its side length as input.,"def square_perimeter(a):
  perimeter=4*a
  return perimeter","[""assert square_perimeter(10)==40"", ""assert square_perimeter(5)==20"", ""assert square_perimeter(4)==16""]","function square_perimeter(a: number): number {
  const perimeter = 4 * a;
  return perimeter;
}",success,1,3,0,[]
18,test,sanitized,Write a function to remove characters from the first string which are present in the second string.,"NO_OF_CHARS = 256
def str_to_list(string): 
	temp = [] 
	for x in string: 
		temp.append(x) 
	return temp 
def lst_to_string(List): 
	return ''.join(List) 
def get_char_count_array(string): 
	count = [0] * NO_OF_CHARS 
	for i in string: 
		count[ord(i)] += 1
	return count 
def remove_dirty_chars(string, second_string): 
	count = get_char_count_array(second_string) 
	ip_ind = 0
	res_ind = 0
	temp = '' 
	str_list = str_to_list(string) 
	while ip_ind != len(str_list): 
		temp = str_list[ip_ind] 
		if count[ord(temp)] == 0: 
			str_list[res_ind] = str_list[ip_ind] 
			res_ind += 1
		ip_ind+=1
	return lst_to_string(str_list[0:res_ind]) ","[""assert remove_dirty_chars(\""probasscurve\"", \""pros\"") == 'bacuve'"", ""assert remove_dirty_chars(\""digitalindia\"", \""talent\"") == 'digiidi'"", ""assert remove_dirty_chars(\""exoticmiles\"", \""toxic\"") == 'emles'""]","const NO_OF_CHARS = 256;

function str_to_list(string: string): string[] {
    const temp: string[] = [];
    for (const x of string) {
        temp.push(x);
    }
    return temp;
}

function lst_to_string(list: string[]): string {
    return list.join('');
}

function get_char_count_array(string: string): number[] {
    const count: number[] = new Array(NO_OF_CHARS).fill(0);
    for (const i of string) {
        count[i.charCodeAt(0)] += 1;
    }
    return count;
}

function remove_dirty_chars(string: string, second_string: string): string {
    const count = get_char_count_array(second_string);
    let ip_ind = 0;
    let res_ind = 0;
    let temp = '';
    const str_list = str_to_list(string);
    while (ip_ind !== str_list.length) {
        temp = str_list[ip_ind];
        if (count[temp.charCodeAt(0)] === 0) {
            str_list[res_ind] = str_list[ip_ind];
            res_ind += 1;
        }
        ip_ind += 1;
    }
    return lst_to_string(str_list.slice(0, res_ind));
}",success,1,3,0,[]
19,test,sanitized,Write a function to find whether a given array of integers contains any duplicate element.,"def test_duplicate(arraynums):
    nums_set = set(arraynums)    
    return len(arraynums) != len(nums_set)     ","[""assert test_duplicate(([1,2,3,4,5]))==False"", ""assert test_duplicate(([1,2,3,4, 4]))==True"", ""assert test_duplicate([1,1,2,2,3,3,4,4,5])==True""]","function test_duplicate(arraynums: number[]): boolean {
    const nums_set = new Set(arraynums);
    return arraynums.length !== nums_set.size;
}",success,1,3,0,[]
20,test,sanitized,Write a function to check if the given number is woodball or not.,"def is_woodall(x): 
	if (x % 2 == 0): 
		return False
	if (x == 1): 
		return True
	x = x + 1 
	p = 0
	while (x % 2 == 0): 
		x = x/2
		p = p + 1
		if (p == x): 
			return True
	return False","[""assert is_woodall(383) == True"", ""assert is_woodall(254) == False"", ""assert is_woodall(200) == False""]","function is_woodall(x: number): boolean {
    if (x % 2 === 0) {
        return false;
    }
    if (x === 1) {
        return true;
    }
    x = x + 1;
    let p: number = 0;
    while (x % 2 === 0) {
        x = x / 2;
        p = p + 1;
        if (p === x) {
            return true;
        }
    }
    return false;
}",success,1,3,0,[]
56,test,sanitized,Write a python function to check if a given number is one less than twice its reverse.,"def rev(num):    
    rev_num = 0
    while (num > 0):  
        rev_num = (rev_num * 10 + num % 10) 
        num = num // 10  
    return rev_num  
def check(n):    
    return (2 * rev(n) == n + 1)  ","[""assert check(70) == False"", ""assert check(23) == False"", ""assert check(73) == True""]","function rev(num: number): number {
    let rev_num: number = 0;
    while (num > 0) {
        rev_num = rev_num * 10 + num % 10;
        num = Math.floor(num / 10);
    }
    return rev_num;
}

function check(n: number): boolean {
    return 2 * rev(n) === n + 1;
}",success,1,3,0,[]
57,test,sanitized,Write a python function to find the largest number that can be formed with the given list of digits.,"def find_Max_Num(arr) : 
    n = len(arr)
    arr.sort(reverse = True) 
    num = arr[0] 
    for i in range(1,n) : 
        num = num * 10 + arr[i] 
    return num ","[""assert find_Max_Num([1,2,3]) == 321"", ""assert find_Max_Num([4,5,6,1]) == 6541"", ""assert find_Max_Num([1,2,3,9]) == 9321""]","function find_Max_Num(arr: number[]): number {
    const n = arr.length;
    const sortedArr = [...arr].sort((a, b) => b - a);
    let num = sortedArr[0];
    for (let i = 1; i < n; i++) {
        num = num * 10 + sortedArr[i];
    }
    return num;
}",success,1,3,0,[]
58,test,sanitized,Write a python function to check whether the given two integers have opposite sign or not.,"def opposite_Signs(x,y): 
    return ((x ^ y) < 0); ","[""assert opposite_Signs(1,-2) == True"", ""assert opposite_Signs(3,2) == False"", ""assert opposite_Signs(-10,-10) == False"", ""assert opposite_Signs(-2,2) == True""]","function opposite_Signs(x: number, y: number): boolean {
    return (x ^ y) < 0;
}",success,1,4,0,[]
59,test,sanitized,Write a function to find the nth octagonal number.,"def is_octagonal(n): 
	return 3 * n * n - 2 * n ","[""assert is_octagonal(5) == 65"", ""assert is_octagonal(10) == 280"", ""assert is_octagonal(15) == 645""]","function is_octagonal(n: number): number {
    return 3 * n * n - 2 * n;
}",success,1,3,0,[]
61,test,sanitized,Write a python function to count the number of substrings with the sum of digits equal to their length.,"from collections import defaultdict
def count_Substrings(s):
    n = len(s)
    count,sum = 0,0
    mp = defaultdict(lambda : 0)
    mp[0] += 1
    for i in range(n):
        sum += ord(s[i]) - ord('0')
        count += mp[sum - (i + 1)]
        mp[sum - (i + 1)] += 1
    return count","[""assert count_Substrings('112112') == 6"", ""assert count_Substrings('111') == 6"", ""assert count_Substrings('1101112') == 12""]","function count_Substrings(s: string): number {
    const n: number = s.length;
    let count: number = 0;
    let sum: number = 0;
    const mp: Map<number, number> = new Map();
    mp.set(0, 1);
    
    for (let i = 0; i < n; i++) {
        sum += s.charCodeAt(i) - '0'.charCodeAt(0);
        const key: number = sum - (i + 1);
        count += mp.get(key) || 0;
        mp.set(key, (mp.get(key) || 0) + 1);
    }
    
    return count;
}",success,1,3,0,[]
62,test,sanitized,Write a python function to find smallest number in a list.,"def smallest_num(xs):
  return min(xs)
","[""assert smallest_num([10, 20, 1, 45, 99]) == 1"", ""assert smallest_num([1, 2, 3]) == 1"", ""assert smallest_num([45, 46, 50, 60]) == 45""]","function smallest_num(xs: number[]): number {
  return Math.min(...xs);
}",success,1,3,0,[]
63,test,sanitized,Write a function to find the maximum difference between available pairs in the given tuple list.,"def max_difference(test_list):
  temp = [abs(b - a) for a, b in test_list]
  res = max(temp)
  return (res) ","[""assert max_difference([(3, 5), (1, 7), (10, 3), (1, 2)]) == 7"", ""assert max_difference([(4, 6), (2, 17), (9, 13), (11, 12)]) == 15"", ""assert max_difference([(12, 35), (21, 27), (13, 23), (41, 22)]) == 23""]","function max_difference(test_list: [number, number][]): number {
  const temp: number[] = test_list.map(([a, b]) => Math.abs(b - a));
  const res: number = Math.max(...temp);
  return res;
}",success,1,3,0,[]
64,test,sanitized,Write a function to sort a list of tuples using the second value of each tuple.,"def subject_marks(subjectmarks):
#subject_marks = [('English', 88), ('Science', 90), ('Maths', 97), ('Social sciences', 82)])
 subjectmarks.sort(key = lambda x: x[1])
 return subjectmarks","[""assert subject_marks([('English', 88), ('Science', 90), ('Maths', 97), ('Social sciences', 82)])==[('Social sciences', 82), ('English', 88), ('Science', 90), ('Maths', 97)]"", ""assert subject_marks([('Telugu',49),('Hindhi',54),('Social',33)])==([('Social',33),('Telugu',49),('Hindhi',54)])"", ""assert subject_marks([('Physics',96),('Chemistry',97),('Biology',45)])==([('Biology',45),('Physics',96),('Chemistry',97)])""]","function subject_marks(subjectmarks: [string, number][]): [string, number][] {
    subjectmarks.sort((a, b) => a[1] - b[1]);
    return subjectmarks;
}",success,1,3,0,[]
65,test,sanitized,Write a function to flatten a list and sum all of its elements.,"def recursive_list_sum(data_list):
	total = 0
	for element in data_list:
		if type(element) == type([]):
			total = total + recursive_list_sum(element)
		else:
			total = total + element
	return total","[""assert recursive_list_sum(([1, 2, [3,4],[5,6]]))==21"", ""assert recursive_list_sum(([7, 10, [15,14],[19,41]]))==106"", ""assert recursive_list_sum(([10, 20, [30,40],[50,60]]))==210""]","type NestedArray = (number | NestedArray)[];

function recursive_list_sum(data_list: NestedArray): number {
    let total = 0;
    for (const element of data_list) {
        if (Array.isArray(element)) {
            total = total + recursive_list_sum(element);
        } else {
            total = total + element;
        }
    }
    return total;
}",success,1,3,0,[]
66,test,sanitized,Write a python function to count the number of positive numbers in a list.,"def pos_count(list):
  pos_count= 0
  for num in list: 
    if num >= 0: 
      pos_count += 1
  return pos_count ","[""assert pos_count([1,-2,3,-4]) == 2"", ""assert pos_count([3,4,5,-1]) == 3"", ""assert pos_count([1,2,3,4]) == 4""]","function pos_count(list: number[]): number {
  let posCount: number = 0;
  for (const num of list) {
    if (num >= 0) {
      posCount += 1;
    }
  }
  return posCount;
}",success,1,3,0,[]
67,test,sanitized,Write a function to find the number of ways to partition a set of Bell numbers.,"def bell_number(n):   
    bell = [[0 for i in range(n+1)] for j in range(n+1)] 
    bell[0][0] = 1
    for i in range(1, n+1): 
        bell[i][0] = bell[i-1][i-1]  
        for j in range(1, i+1): 
            bell[i][j] = bell[i-1][j-1] + bell[i][j-1]   
    return bell[n][0] ","[""assert bell_number(2)==2"", ""assert bell_number(10)==115975"", ""assert bell_number(56)==6775685320645824322581483068371419745979053216268760300""]","function bell_number(n: number): bigint {
    const bell: bigint[][] = [];
    for (let i = 0; i <= n; i++) {
        bell.push([]);
        for (let j = 0; j <= n; j++) {
            bell[i].push(0n);
        }
    }
    
    bell[0][0] = 1n;
    
    for (let i = 1; i <= n; i++) {
        bell[i][0] = bell[i - 1][i - 1];
        for (let j = 1; j <= i; j++) {
            bell[i][j] = bell[i - 1][j - 1] + bell[i][j - 1];
        }
    }
    
    return bell[n][0];
}",success,1,3,0,[]
68,test,sanitized,Write a python function to check whether the given array is monotonic or not.,"def is_Monotonic(A): 
    return (all(A[i] <= A[i + 1] for i in range(len(A) - 1)) or
            all(A[i] >= A[i + 1] for i in range(len(A) - 1))) ","[""assert is_Monotonic([6, 5, 4, 4]) == True"", ""assert is_Monotonic([1, 2, 2, 3]) == True"", ""assert is_Monotonic([1, 3, 2]) == False""]","function is_Monotonic(A: number[]): boolean {
    const isNonDecreasing = A.every((_, i) => i === A.length - 1 || A[i] <= A[i + 1]);
    const isNonIncreasing = A.every((_, i) => i === A.length - 1 || A[i] >= A[i + 1]);
    return isNonDecreasing || isNonIncreasing;
}",success,1,3,0,[]
69,test,sanitized,Write a function to check whether a list contains the given sublist or not.,"def is_sublist(l, s):
	sub_set = False
	if s == []:
		sub_set = True
	elif s == l:
		sub_set = True
	elif len(s) > len(l):
		sub_set = False
	else:
		for i in range(len(l)):
			if l[i] == s[0]:
				n = 1
				while (n < len(s)) and (l[i+n] == s[n]):
					n += 1				
				if n == len(s):
					sub_set = True
	return sub_set","[""assert is_sublist([2,4,3,5,7],[3,7])==False"", ""assert is_sublist([2,4,3,5,7],[4,3])==True"", ""assert is_sublist([2,4,3,5,7],[1,6])==False""]","function is_sublist<T>(l: T[], s: T[]): boolean {
    let sub_set: boolean = false;
    if (s.length === 0) {
        sub_set = true;
    } else if (s.length === l.length && s.every((val, idx) => val === l[idx])) {
        sub_set = true;
    } else if (s.length > l.length) {
        sub_set = false;
    } else {
        for (let i = 0; i < l.length; i++) {
            if (l[i] === s[0]) {
                let n = 1;
                while (n < s.length && l[i + n] === s[n]) {
                    n += 1;
                }
                if (n === s.length) {
                    sub_set = true;
                }
            }
        }
    }
    return sub_set;
}",success,1,3,0,[]
70,test,sanitized,Write a function to find whether all the given tuples have equal length or not.,"def find_equal_tuple(Input):
  k = 0 if not Input else len(Input[0])
  flag = 1
  for tuple in Input:
    if len(tuple) != k:
      flag = 0
      break
  return flag
def get_equal(Input):
  return find_equal_tuple(Input) == 1","[""assert get_equal([(11, 22, 33), (44, 55, 66)]) == True"", ""assert get_equal([(1, 2, 3), (4, 5, 6, 7)]) == False"", ""assert get_equal([(1, 2), (3, 4)]) == True""]","function find_equal_tuple<T>(Input: T[][]): number {
  const k = Input.length === 0 ? 0 : Input[0].length;
  let flag = 1;
  for (const tuple of Input) {
    if (tuple.length !== k) {
      flag = 0;
      break;
    }
  }
  return flag;
}

function get_equal<T>(Input: T[][]): boolean {
  return find_equal_tuple(Input) === 1;
}",success,1,3,0,[]
71,test,sanitized,Write a function to sort a list of elements.,"def comb_sort(nums):
    shrink_fact = 1.3
    gaps = len(nums)
    swapped = True
    i = 0
    while gaps > 1 or swapped:
        gaps = int(float(gaps) / shrink_fact)
        swapped = False
        i = 0
        while gaps + i < len(nums):
            if nums[i] > nums[i+gaps]:
                nums[i], nums[i+gaps] = nums[i+gaps], nums[i]
                swapped = True
            i += 1
    return nums","[""assert comb_sort([5, 15, 37, 25, 79]) == [5, 15, 25, 37, 79]"", ""assert comb_sort([41, 32, 15, 19, 22]) == [15, 19, 22, 32, 41]"", ""assert comb_sort([99, 15, 13, 47]) == [13, 15, 47, 99]""]","function comb_sort(nums: number[]): number[] {
    const shrink_fact: number = 1.3;
    let gaps: number = nums.length;
    let swapped: boolean = true;
    let i: number = 0;
    
    while (gaps > 1 || swapped) {
        gaps = Math.floor(gaps / shrink_fact);
        swapped = false;
        i = 0;
        while (gaps + i < nums.length) {
            if (nums[i] > nums[i + gaps]) {
                [nums[i], nums[i + gaps]] = [nums[i + gaps], nums[i]];
                swapped = true;
            }
            i += 1;
        }
    }
    return nums;
}",success,1,3,0,[]
72,test,sanitized,Write a python function to check whether the given number can be represented as the difference of two squares or not.,"def dif_Square(n): 
    if (n % 4 != 2): 
        return True
    return False","[""assert dif_Square(5) == True"", ""assert dif_Square(10) == False"", ""assert dif_Square(15) == True""]","function dif_Square(n: number): boolean {
    if (n % 4 !== 2) {
        return true;
    }
    return false;
}",success,1,3,0,[]
74,test,sanitized,Write a function to check whether it follows the sequence given in the patterns array.,"def is_samepatterns(colors, patterns):    
    if len(colors) != len(patterns):
        return False    
    sdict = {}
    pset = set()
    sset = set()    
    for i in range(len(patterns)):
        pset.add(patterns[i])
        sset.add(colors[i])
        if patterns[i] not in sdict.keys():
            sdict[patterns[i]] = []

        keys = sdict[patterns[i]]
        keys.append(colors[i])
        sdict[patterns[i]] = keys

    if len(pset) != len(sset):
        return False   

    for values in sdict.values():

        for i in range(len(values) - 1):
            if values[i] != values[i+1]:
                return False

    return True","[""assert is_samepatterns([\""red\"",\""green\"",\""green\""], [\""a\"", \""b\"", \""b\""])==True"", ""assert is_samepatterns([\""red\"",\""green\"",\""greenn\""], [\""a\"",\""b\"",\""b\""])==False"", ""assert is_samepatterns([\""red\"",\""green\"",\""greenn\""], [\""a\"",\""b\""])==False""]","function is_samepatterns(colors: string[], patterns: string[]): boolean {
    if (colors.length !== patterns.length) {
        return false;
    }
    
    const sdict: Map<string, string[]> = new Map();
    const pset: Set<string> = new Set();
    const sset: Set<string> = new Set();
    
    for (let i = 0; i < patterns.length; i++) {
        pset.add(patterns[i]);
        sset.add(colors[i]);
        
        if (!sdict.has(patterns[i])) {
            sdict.set(patterns[i], []);
        }
        
        const keys = sdict.get(patterns[i])!;
        keys.push(colors[i]);
        sdict.set(patterns[i], keys);
    }
    
    if (pset.size !== sset.size) {
        return false;
    }
    
    for (const values of sdict.values()) {
        for (let i = 0; i < values.length - 1; i++) {
            if (values[i] !== values[i + 1]) {
                return false;
            }
        }
    }
    
    return true;
}",success,1,3,0,[]
75,test,sanitized,Write a function to find tuples which have all elements divisible by k from the given list of tuples.,"def find_tuples(test_list, K):
  res = [sub for sub in test_list if all(ele % K == 0 for ele in sub)]
  return res","[""assert find_tuples([(6, 24, 12), (7, 9, 6), (12, 18, 21)], 6) == [(6, 24, 12)]"", ""assert find_tuples([(5, 25, 30), (4, 2, 3), (7, 8, 9)], 5) == [(5, 25, 30)]"", ""assert find_tuples([(7, 9, 16), (8, 16, 4), (19, 17, 18)], 4) == [(8, 16, 4)]""]","function find_tuples(test_list: number[][], K: number): number[][] {
  return test_list.filter(sub => sub.every(ele => ele % K === 0));
}",success,1,3,0,[]
77,test,sanitized,Write a python function to find whether a number is divisible by 11.,"def is_Diff(n): 
    return (n % 11 == 0) ","[""assert is_Diff (12345) == False"", ""assert is_Diff(1212112) == True"", ""assert is_Diff(1212) == False""]","function is_Diff(n: number): boolean {
    return n % 11 === 0;
}",success,1,3,0,[]
79,test,sanitized,Write a python function to check whether the length of the word is odd or not.,"def word_len(s): 
    s = s.split(' ')   
    for word in s:    
        if len(word)%2!=0: 
            return True  
        else:
          return False","[""assert word_len(\""Hadoop\"") == False"", ""assert word_len(\""great\"") == True"", ""assert word_len(\""structure\"") == True""]","function word_len(s: string): boolean {
    const words = s.split(' ');
    for (const word of words) {
        if (word.length % 2 !== 0) {
            return true;
        } else {
            return false;
        }
    }
    return false;
}",success,1,3,0,[]
80,test,sanitized,Write a function to find the nth tetrahedral number.,"def tetrahedral_number(n): 
	return (n * (n + 1) * (n + 2)) / 6","[""assert tetrahedral_number(5) == 35"", ""assert tetrahedral_number(6) == 56"", ""assert tetrahedral_number(7) == 84""]","function tetrahedral_number(n: number): number {
    return (n * (n + 1) * (n + 2)) / 6;
}",success,1,3,0,[]
82,test,sanitized,Write a function to find the volume of a sphere.,"import math
def volume_sphere(r):
  volume=(4/3)*math.pi*r*r*r
  return volume","[""assert math.isclose(volume_sphere(10), 4188.790204786391, rel_tol=0.001)"", ""assert math.isclose(volume_sphere(25), 65449.84694978735, rel_tol=0.001)"", ""assert math.isclose(volume_sphere(20), 33510.32163829113, rel_tol=0.001)""]","function volume_sphere(r: number): number {
  const volume = (4 / 3) * Math.PI * r * r * r;
  return volume;
}",success,1,3,0,[]
83,test,sanitized,Write a python function to find the character made by adding the ASCII value of all the characters of the given string modulo 26.,"def get_Char(strr):  
    summ = 0
    for i in range(len(strr)): 
        summ += (ord(strr[i]) - ord('a') + 1)  
    if (summ % 26 == 0): 
        return ord('z') 
    else: 
        summ = summ % 26
        return chr(ord('a') + summ - 1)","[""assert get_Char(\""abc\"") == \""f\"""", ""assert get_Char(\""gfg\"") == \""t\"""", ""assert get_Char(\""ab\"") == \""c\""""]","function get_Char(strr: string): string {
    let summ: number = 0;
    for (let i = 0; i < strr.length; i++) {
        summ += (strr.charCodeAt(i) - 'a'.charCodeAt(0) + 1);
    }
    if (summ % 26 === 0) {
        return 'z';
    } else {
        summ = summ % 26;
        return String.fromCharCode('a'.charCodeAt(0) + summ - 1);
    }
}",success,1,3,0,[]
84,test,sanitized,Write a function to find the nth number in the newman conway sequence.,"def sequence(n): 
	if n == 1 or n == 2: 
		return 1
	else: 
		return sequence(sequence(n-1)) + sequence(n-sequence(n-1))","[""assert sequence(10) == 6"", ""assert sequence(2) == 1"", ""assert sequence(3) == 2""]","function sequence(n: number): number {
    if (n === 1 || n === 2) {
        return 1;
    } else {
        return sequence(sequence(n - 1)) + sequence(n - sequence(n - 1));
    }
}",success,1,3,0,[]
85,test,sanitized,Write a function to find the surface area of a sphere.,"import math
def surfacearea_sphere(r):
  surfacearea=4*math.pi*r*r
  return surfacearea","[""assert math.isclose(surfacearea_sphere(10), 1256.6370614359173, rel_tol=0.001)"", ""assert math.isclose(surfacearea_sphere(15), 2827.4333882308138, rel_tol=0.001)"", ""assert math.isclose(surfacearea_sphere(20), 5026.548245743669, rel_tol=0.001)""]","function surfacearea_sphere(r: number): number {
  const surfacearea = 4 * Math.PI * r * r;
  return surfacearea;
}",success,1,3,0,[]
86,test,sanitized,Write a function to find nth centered hexagonal number.,"def centered_hexagonal_number(n):
  return 3 * n * (n - 1) + 1","[""assert centered_hexagonal_number(10) == 271"", ""assert centered_hexagonal_number(2) == 7"", ""assert centered_hexagonal_number(9) == 217""]","function centered_hexagonal_number(n: number): number {
  return 3 * n * (n - 1) + 1;
}",success,1,3,0,[]
