task_id,pair_num,prompt,code
6,1,Create a Python function that determines if two numbers have a difference of exactly one bit in their binary representations.,"def is_Power_Of_Two(x):
    # Handle edge case where x is zero or negative
    if x <= 0:
        return False
    # Count how many bits are set to 1 using bin() string representation
    bit_count = bin(x).count('1')
    # A power of two has exactly one bit set
    return bit_count == 1

def differ_At_One_Bit_Pos(a, b):
    # XOR the two numbers to find differing bit positions
    xor_result = a ^ b
    # Check if the XOR result is a power of two (exactly one bit differs)
    return is_Power_Of_Two(xor_result)"
6,2,Implement a function in Python to verify whether the binary forms of two given numbers differ in precisely one bit position.,"def is_Power_Of_Two(x):
    # Guard against non-positive numbers which cannot be powers of two
    if x <= 0:
        return False
    # Use bit_length to find position of highest set bit
    highest_bit_pos = x.bit_length()
    # Reconstruct what the number would be if only that highest bit was set
    reconstructed = 1 << (highest_bit_pos - 1)
    # If original equals reconstructed, only one bit was set (power of two)
    return x == reconstructed

def differ_At_One_Bit_Pos(a, b):
    # Compute XOR to isolate bits that are different between the two numbers
    diff_bits = a ^ b
    # Verify exactly one bit position differs by checking if XOR is power of two
    return is_Power_Of_Two(diff_bits)"
6,3,Can you write a Python function that checks if two integers vary by only a single bit when compared at the binary level?,"def is_Power_Of_Two(x):
    # Reject zero and negative numbers as they cannot be powers of two
    if x <= 0:
        return False
    # Initialize a counter to track how many 1-bits we encounter
    ones_count = 0
    # Loop through all bits until the number becomes zero
    while x > 0:
        # Extract the least significant bit and add it to our count
        ones_count += x & 1
        # Early exit optimization: more than one 1-bit means not a power of two
        if ones_count > 1:
            return False
        # Shift right to examine the next bit in the next iteration
        x >>= 1
    # A power of two has exactly one bit set to 1
    return ones_count == 1

def differ_At_One_Bit_Pos(a, b):
    # XOR operation produces 1s only where the two numbers have different bits
    xor_value = a ^ b
    # The numbers differ at exactly one bit if their XOR is a power of two
    return is_Power_Of_Two(xor_value)"
6,4,"A Python function is needed to assess whether two numbers, when examined in binary, have exactly one bit that is different between them.","def is_Power_Of_Two(x):
    # Eliminate zero and negative values since they cannot represent powers of two
    if x <= 0:
        return False
    # Use logarithm base 2 to find what power would produce x
    import math
    log_value = math.log2(x)
    # Check if the log result is a whole number (integer power of 2)
    return log_value == int(log_value)

def differ_At_One_Bit_Pos(a, b):
    # Perform bitwise XOR to highlight positions where bits disagree
    xor_result = a ^ b
    # Verify the XOR yields a power of two, meaning single bit difference
    return is_Power_Of_Two(xor_result)"
6,5,Develop Python code that takes two numbers as input and returns whether they differ at just one bit position in their binary representation.,"def is_Power_Of_Two(x):
    # Exclude non-positive integers since powers of two are strictly positive
    if x <= 0:
        return False
    # Use Brian Kernighan's algorithm: x & (x-1) clears the rightmost set bit
    cleared = x & (x - 1)
    # If result is zero, x had exactly one bit set, confirming it's a power of two
    return cleared == 0

def differ_At_One_Bit_Pos(a, b):
    # First check if the numbers are identical (no bits differ)
    if a == b:
        return False
    # XOR reveals all bit positions where a and b have opposite values
    difference = a ^ b
    # Isolate the lowest set bit using two's complement trick
    lowest_bit = difference & (-difference)
    # If the isolated bit equals the full difference, only one bit was set
    return lowest_bit == difference"
7,1,Create a function that extracts every word containing 4 or more characters from a given string.,"def find_char_long(text):
    # Initialize empty list to store words meeting length criteria
    result = []
    # Split the input text into individual words using whitespace
    words = text.split()
    # Process each word from the split text
    for word in words:
        # Extract only alphanumeric characters from the word to handle punctuation
        cleaned_word = ''.join(char for char in word if char.isalnum())
        # Check if cleaned word has at least 4 characters
        if len(cleaned_word) >= 4:
            # Add qualifying word to our result collection
            result.append(cleaned_word)
    # Return the list of words with 4 or more characters
    return result"
7,2,Develop a function to identify and return all words in a string where the word length is at least four characters.,"def find_char_long(text):
    # Use list comprehension with filter function for a functional programming approach
    words = text.split()
    # Define a helper function to extract alphanumeric characters from a word
    def extract_alnum(word):
        # Build cleaned word by filtering only alphanumeric characters
        return ''.join(filter(str.isalnum, word))
    # Apply extraction to all words and filter by length using map and filter combination
    cleaned_words = map(extract_alnum, words)
    # Filter words that have 4 or more characters using lambda predicate
    long_words = filter(lambda w: len(w) >= 4, cleaned_words)
    # Convert filter object to list for return value
    return list(long_words)"
7,3,"Given a string, implement a function that filters out and collects only those words having a minimum of 4 characters.","def find_char_long(text):
    # Use a while loop with index tracking for manual iteration through characters
    result = []
    # Track current position in the text string
    i = 0
    # Get total length once to avoid repeated len() calls
    n = len(text)
    # Continue processing until we've examined all characters
    while i < n:
        # Accumulator for building current word character by character
        current_word = """"
        # Keep consuming characters while they are alphanumeric (word characters)
        while i < n and text[i].isalnum():
            # Append valid character to current word being built
            current_word += text[i]
            # Move to next character position
            i += 1
        # After word boundary reached, check if accumulated word meets length threshold
        if len(current_word) >= 4:
            # Word qualifies, add to results collection
            result.append(current_word)
        # Skip over non-alphanumeric characters (spaces, punctuation) until next word
        while i < n and not text[i].isalnum():
            # Advance past delimiter characters
            i += 1
    # Return all collected words meeting the 4+ character requirement
    return result"
7,4,How would you write a function that locates all words with four or more characters within a text string?,"def find_char_long(text):
    # Use recursion to process the text character by character
    def extract_words(s, current, collected):
        # Base case: when string is exhausted, check if current word qualifies
        if not s:
            # Only append current word if it meets the minimum length requirement
            if len(current) >= 4:
                collected.append(current)
            # Return the final collection of valid words
            return collected
        # Examine the first character of remaining string
        char = s[0]
        # Determine if character is part of a word (alphanumeric)
        if char.isalnum():
            # Recursively process rest of string, growing current word
            return extract_words(s[1:], current + char, collected)
        else:
            # Word boundary detected, evaluate accumulated word
            if len(current) >= 4:
                # Current word meets criteria, add to collection
                collected.append(current)
            # Reset current word and continue with remaining text
            return extract_words(s[1:], """", collected)
    # Invoke recursive helper with initial empty state for word and results
    return extract_words(text, """", [])"
7,5,A function is needed that scans through a string and retrieves each word that consists of 4+ characters.,"def find_char_long(text):
    # Use reduce-style iteration with enumerate to process text as a state machine
    import itertools
    # Group consecutive characters by whether they are alphanumeric
    groups = itertools.groupby(text, key=lambda c: c.isalnum())
    # Initialize container for words meeting the length threshold
    valid_words = []
    # Iterate through grouped segments of the text
    for is_word_char, chars in groups:
        # Only process groups that contain word characters
        if is_word_char:
            # Materialize the iterator into a complete word string
            word = ''.join(chars)
            # Apply length filter to include only substantial words
            if len(word) >= 4:
                # Append qualifying word to our accumulator list
                valid_words.append(word)
    # Deliver the filtered collection of long words
    return valid_words"
8,1,Create a function that computes the square of each element within a given list.,"def square_nums(nums):
    # Use list comprehension to transform each element by multiplying it with itself
    squared_list = [x * x for x in nums]
    # Return the newly created list containing all squared values
    return squared_list"
8,2,Develop a function capable of returning a list where every individual element has been squared.,"def square_nums(nums):
    # Create an empty list to accumulate squared values one by one
    result = []
    # Process each number in the input list using index-based iteration
    for i in range(len(nums)):
        # Calculate square by raising current element to power of 2
        squared_value = nums[i] ** 2
        # Append the computed square to our result accumulator
        result.append(squared_value)
    # Return the fully populated list of squared numbers
    return result"
8,3,"Given a list of numbers, implement a function that calculates and returns their squared values.","def square_nums(nums):
    # Use recursive helper to process list elements without explicit loops
    def square_recursive(lst, index=0):
        # Base case: when index reaches list length, return empty list to start building result
        if index >= len(lst):
            return []
        # Compute square of current element using multiplication operator
        current_square = lst[index] * lst[index]
        # Recursively process remaining elements and prepend current square to result
        return [current_square] + square_recursive(lst, index + 1)
    # Invoke recursive helper starting from first index
    return square_recursive(nums)"
8,4,How would you write a function that takes a list and produces the square of each item in it?,"def square_nums(nums):
    # Use a generator expression with tuple unpacking via enumerate to square each value
    def square_generator(input_list):
        # Yield squared values lazily using enumerate to iterate through list positions
        for idx, val in enumerate(input_list):
            # Compute square using exponentiation and yield it to the caller
            yield val ** 2
    # Materialize the generator into a concrete list by passing to list constructor
    squared_result = list(square_generator(nums))
    # Return the list containing all squared elements
    return squared_result"
8,5,A function is needed that iterates through a list and generates the square for every element contained within.,"def square_nums(nums):
    # Import reduce to perform cumulative operations on the list
    from functools import reduce
    # Define a reducer that accumulates squared values into a growing list
    def accumulate_squares(acc, num):
        # Append the square of current number to accumulator list and return it
        acc.append(num ** 2)
        # Return modified accumulator for next iteration
        return acc
    # Apply reduce with empty list as initial value, building result incrementally
    squared_list = reduce(accumulate_squares, nums, [])
    # Return the fully constructed list of squared numbers
    return squared_list"
9,1,Create a Python function that determines the smallest number of rotations (at least 1) needed for a string to return to its original form.,"def find_Rotations(str): 
    # Store the length of input string for iteration bounds
    n = len(str) 
    # Try each possible rotation count from 1 to n
    for rotations in range(1, n + 1): 
        # Perform rotation by moving first 'rotations' chars to end
        rotated = str[rotations:] + str[:rotations]
        # Check if rotated string matches original
        if rotated == str: 
            # Found minimum rotations needed to return to original
            return rotations 
    # Fallback return (theoretically unreachable for valid strings)
    return n"
9,2,"How many rotations, with a minimum of one, does it take for a string to match itself again? Implement a Python function to calculate this minimum value.","def find_Rotations(str): 
    # Determine the length of the input string once to avoid repeated calls
    n = len(str) 
    # Handle edge case of empty string to prevent division issues
    if n == 0:
        return 0
    # Find divisors of n since valid rotation counts must divide string length evenly
    for i in range(1, n + 1):
        # Only check rotation counts that evenly divide the string length
        if n % i == 0:
            # Extract the repeating unit pattern of length i
            pattern = str[:i]
            # Calculate how many times this pattern should repeat to form the full string
            repeat_count = n // i
            # Reconstruct string by repeating the pattern
            reconstructed = pattern * repeat_count
            # If reconstruction matches original, i is the minimum rotation count
            if reconstructed == str:
                return i
    # Return full length if no smaller period found (mathematically guaranteed to match)
    return n"
9,3,Develop a function in Python that computes the least positive integer representing the rotation count required to reproduce the identical string.,"def find_Rotations(str): 
    # Get string length to define the search space for rotation periods
    n = len(str) 
    # Return 0 for empty strings as no rotation is meaningful
    if n == 0:
        return 0
    # Use a deque-like approach by converting string to list for rotation simulation
    chars = list(str)
    # Track how many single-position rotations we've performed
    rotation_count = 0
    # Continue rotating until we find a match or exhaust all possibilities
    while rotation_count < n:
        # Move the first character to the end (single left rotation)
        first_char = chars.pop(0)
        # Append the removed character to complete one rotation
        chars.append(first_char)
        # Increment our rotation tracker after each single rotation
        rotation_count += 1
        # Convert current character list back to string for comparison
        current_str = ''.join(chars)
        # Check if this rotation produces the original string
        if current_str == str:
            # Found the minimum number of rotations needed
            return rotation_count
    # Safety return for edge cases though loop should always find answer
    return n"
9,4,"In Python, devise a function to identify the minimal rotation count (excluding zero) after which a string becomes equivalent to its initial state.","def find_Rotations(str): 
    # Compute length once to use in modular arithmetic calculations
    n = len(str) 
    # Guard against empty string which has no meaningful rotation
    if n == 0:
        return 0
    # Attempt each possible rotation period starting from smallest
    i = 1
    # Use while loop for a different iteration structure than for-range
    while i <= n:
        # Check if current position could be a valid rotation period
        is_valid = True
        # Index to walk through each character position in string
        j = 0
        # Verify all characters align when shifted by i positions
        while j < n:
            # Use modular arithmetic to wrap around and compare shifted positions
            target_idx = (j + i) % n
            # If any character mismatch occurs, this rotation count fails
            if str[j] != str[target_idx]:
                # Mark as invalid and break early for efficiency
                is_valid = False
                # Exit inner loop since we found a counterexample
                break
            # Move to next character position for comparison
            j += 1
        # If all characters matched their shifted counterparts
        if is_valid:
            # Return first valid rotation count as it's the minimum
            return i
        # Increment to try next rotation period
        i += 1
    # Default return matching string length if nothing smaller works
    return n"
9,5,"A Python function is needed that returns the lowest number of character rotations, greater than zero, necessary to transform a string back into itself.","def find_Rotations(str): 
    # Cache string length as it determines maximum possible rotation period
    n = len(str) 
    # Empty strings have no valid rotation, return zero as sentinel
    if n == 0:
        return 0
    # Use KMP failure function concept to find string periodicity
    # Build array where fail[i] stores length of longest proper prefix that's also suffix
    fail = [0] * n
    # Start matching from second character since fail[0] is always 0
    k = 0
    # Iterate through string starting at index 1 to build failure array
    for i in range(1, n):
        # Backtrack using failure links when characters don't match
        while k > 0 and str[k] != str[i]:
            # Follow failure chain to find shorter prefix-suffix match
            k = fail[k - 1]
        # Characters match so extend the current prefix-suffix length
        if str[k] == str[i]:
            # Increment k to reflect one more matching character
            k += 1
        # Record the longest prefix-suffix length ending at position i
        fail[i] = k
    # The last value in fail array tells us the overlap between prefix and suffix
    longest_border = fail[n - 1]
    # Compute the candidate period length using the border property
    candidate_period = n - longest_border
    # Verify that the candidate period evenly divides the string length
    if n % candidate_period == 0:
        # If divisible, this is the minimum rotation count to return to original
        return candidate_period
    # If period doesn't divide evenly, full string length is the answer
    return n"
11,1,Create a Python function that eliminates both the initial and final occurrences of a specified character within a string.,"def remove_Occ(s,ch): 
    # Use find() to locate the index of first occurrence of character
    first_idx = s.find(ch)
    # Use rfind() to locate the index of last occurrence of character
    last_idx = s.rfind(ch)
    # Handle case where character is not found in string
    if first_idx == -1:
        return s
    # Handle case where only one occurrence exists (first and last are same)
    if first_idx == last_idx:
        # Remove the single occurrence by concatenating parts before and after
        return s[:first_idx] + s[first_idx + 1:]
    # Remove last occurrence first to preserve first_idx validity
    s = s[:last_idx] + s[last_idx + 1:]
    # Now remove first occurrence from the modified string
    s = s[:first_idx] + s[first_idx + 1:]
    # Return the string with both occurrences removed
    return s"
11,2,"In Python, develop a function to strip away the first and last instances where a particular character appears in the given string.","def remove_Occ(s,ch): 
    # Convert string to list for in-place character manipulation
    char_list = list(s)
    # Track whether we've found and removed the first occurrence
    first_removed = False
    # Index to track position of last occurrence for later removal
    last_occurrence_idx = -1
    # Scan through list once to find positions and remove first occurrence
    for idx, char in enumerate(char_list):
        # Check if current character matches target character
        if char == ch:
            # Only remove first occurrence when we haven't done so yet
            if not first_removed:
                # Mark this position for removal by setting to None
                char_list[idx] = None
                # Flag that first occurrence has been handled
                first_removed = True
            # Always update last occurrence index as we traverse forward
            last_occurrence_idx = idx
    # Check if we found at least one occurrence to process
    if first_removed and last_occurrence_idx != -1:
        # Verify the last occurrence wasn't already removed as the first
        if char_list[last_occurrence_idx] is not None:
            # Mark last occurrence position for removal
            char_list[last_occurrence_idx] = None
    # Filter out None values and reconstruct the string
    result = ''.join(c for c in char_list if c is not None)
    # Return the modified string with both occurrences removed
    return result"
11,3,"A Python function is needed that takes a string and a character, then removes that character's earliest and latest appearances from the string.","def remove_Occ(s,ch): 
    # Use replace with count=1 to remove only the first occurrence of character
    s = s.replace(ch, '', 1)
    # Reverse the string to make the last occurrence become the first
    reversed_s = s[::-1]
    # Apply replace again on reversed string to remove what was originally the last occurrence
    reversed_s = reversed_s.replace(ch, '', 1)
    # Reverse back to restore original character order
    result = reversed_s[::-1]
    # Return the final string with both first and last occurrences removed
    return result"
11,4,How would you write a Python function that deletes the opening and closing occurrences of a designated character from a text string?,"def remove_Occ(s,ch): 
    # Find all indices where the target character appears in the string
    indices = [i for i, c in enumerate(s) if c == ch]
    # Return original string unchanged if character never appears
    if len(indices) == 0:
        return s
    # When only one occurrence exists, it serves as both first and last
    if len(indices) == 1:
        # Build result by excluding the single occurrence position
        return s[:indices[0]] + s[indices[0] + 1:]
    # Extract the position of first occurrence from collected indices
    first_pos = indices[0]
    # Extract the position of last occurrence from collected indices
    last_pos = indices[-1]
    # Construct result by keeping characters not at first or last occurrence positions
    result = ''.join(s[i] for i in range(len(s)) if i != first_pos and i != last_pos)
    # Return the reconstructed string with both occurrences removed
    return result"
11,5,Implement a function in Python capable of identifying and removing a character from a string at both its first position and its last position of occurrence.,"def remove_Occ(s,ch): 
    # Use index method wrapped in try-except to find first occurrence position
    try:
        # Attempt to get index of first occurrence, raises ValueError if not found
        first_idx = s.index(ch)
    except ValueError:
        # Character doesn't exist in string, return original unchanged
        return s
    # Use rindex method to find the rightmost occurrence of the character
    last_idx = s.rindex(ch)
    # Create a set containing both positions to exclude from final result
    positions_to_remove = {first_idx, last_idx}
    # Initialize empty list to accumulate characters for the result
    result_chars = []
    # Enumerate through string to access both index and character simultaneously
    for position, character in enumerate(s):
        # Check if current position should be kept in the output
        if position not in positions_to_remove:
            # Append character to result list since it's not marked for removal
            result_chars.append(character)
    # Join all kept characters into a single string and return
    return ''.join(result_chars)"
12,1,Create a function that arranges the rows of a matrix in ascending order based on the sum of elements in each row.,"def sort_matrix(M):
    # Create a list of tuples pairing each row with its computed sum
    rows_with_sums = [(row, sum(row)) for row in M]
    # Apply bubble sort to order rows by their sum values
    n = len(rows_with_sums)
    # Outer loop controls the number of passes through the list
    for i in range(n):
        # Inner loop compares adjacent elements and swaps if needed
        for j in range(0, n - i - 1):
            # Check if current row's sum exceeds the next row's sum
            if rows_with_sums[j][1] > rows_with_sums[j + 1][1]:
                # Swap the tuples to move larger sum toward the end
                rows_with_sums[j], rows_with_sums[j + 1] = rows_with_sums[j + 1], rows_with_sums[j]
    # Extract just the row lists from the sorted tuples, discarding sums
    result = [row for row, _ in rows_with_sums]
    # Return the matrix with rows ordered by ascending sum
    return result"
12,2,"Given a matrix, implement a function to reorder its rows from lowest to highest according to their respective row sums.","def sort_matrix(M):
    # Use insertion sort algorithm to sort rows by their sum values
    # Create a copy of the matrix to avoid modifying the original input
    result = [row[:] for row in M]
    # Iterate starting from second element since first is trivially sorted
    for i in range(1, len(result)):
        # Store the current row that needs to be inserted in correct position
        current_row = result[i]
        # Precompute the sum of current row to avoid repeated calculations
        current_sum = sum(current_row)
        # Start comparing with the element just before current position
        j = i - 1
        # Shift elements rightward while they have larger sums than current
        while j >= 0 and sum(result[j]) > current_sum:
            # Move the row with larger sum one position to the right
            result[j + 1] = result[j]
            # Decrement index to compare with next element on the left
            j -= 1
        # Insert current row at the position where all left elements have smaller sums
        result[j + 1] = current_row
    # Return the sorted matrix with rows ordered by ascending sum
    return result"
12,3,Develop a function where a matrix is sorted such that rows with smaller sums appear before rows with larger sums.,"def sort_matrix(M):
    # Build index-sum pairs to track original positions alongside computed sums
    indexed_sums = []
    # Enumerate through matrix to get both index and row data
    for idx, row in enumerate(M):
        # Calculate row sum and store with index for later retrieval
        indexed_sums.append((idx, sum(row)))
    # Apply selection sort to find minimum sum elements progressively
    n = len(indexed_sums)
    # Outer loop selects position to fill with next smallest sum row
    for i in range(n - 1):
        # Assume current position holds the minimum initially
        min_idx = i
        # Inner loop searches remaining unsorted portion for smaller sums
        for j in range(i + 1, n):
            # Compare sums to find the actual minimum in unsorted region
            if indexed_sums[j][1] < indexed_sums[min_idx][1]:
                # Update minimum index when smaller sum is discovered
                min_idx = j
        # Swap current position with found minimum if they differ
        if min_idx != i:
            # Exchange tuples to move smallest sum to correct sorted position
            indexed_sums[i], indexed_sums[min_idx] = indexed_sums[min_idx], indexed_sums[i]
    # Reconstruct sorted matrix by mapping sorted indices back to original rows
    sorted_matrix = []
    # Iterate through sorted index-sum pairs to build result
    for original_idx, _ in indexed_sums:
        # Retrieve original row using stored index and append to result
        sorted_matrix.append(M[original_idx])
    # Return the matrix with rows arranged by ascending sum order
    return sorted_matrix"
